"x"	"y"	"l1_1"	"l1_2"	"l2_1"	"l2_2"	"l3_1"	"l3_2"	"l4_1"	"l4_2"	"l5_1"	"l5_2"	"l6_1"	"l6_2"	"l7_1"	"l7_2"	"l8_1"	"l8_2"	"l9_1"	"l9_2"	"l10_1"	"l10_2"	"age"	"parent1"	"parent2"
704	28	3	5	3	1	5	3	4	5	1	2	4	5	4	3	4	4	5	1	4	2	3	2	4
1326	13	3	4	4	2	3	1	4	1	5	3	1	4	1	3	3	4	5	1	4	1	3	10	19
101	19	5	3	5	4	2	4	1	4	3	5	3	1	4	1	4	2	3	2	5	4	3	9	10
1302	18	5	1	4	1	3	3	3	1	4	2	2	4	3	4	4	3	3	5	3	1	3	9	6
1202	19	1	3	1	3	3	4	5	2	1	3	1	5	3	1	4	2	5	4	3	5	3	4	17
387	10	1	4	1	2	4	1	5	2	5	1	1	4	3	3	2	4	3	2	4	1	3	1	19
1060	8	1	4	3	3	5	1	3	4	2	2	2	1	4	4	3	3	5	2	4	4	3	6	18
990	1	5	2	5	4	3	3	3	2	3	1	3	1	3	2	1	3	4	1	3	2	3	9	11
1365	5	1	1	5	3	3	1	5	4	4	3	3	5	2	1	3	3	2	4	4	3	3	7	16
1408	21	3	5	3	5	3	2	4	1	5	2	4	1	5	3	3	2	2	3	4	4	3	10	15
1490	15	3	2	1	4	5	3	3	2	2	1	2	1	4	4	3	3	1	4	4	1	3	6	12
1646	29	1	4	1	4	4	2	4	5	1	4	5	2	4	2	4	3	2	2	5	5	3	3	8
1511	28	1	5	1	4	4	3	5	4	2	5	4	4	4	5	2	3	3	1	4	1	3	1	5
937	25	5	1	4	4	1	1	4	1	3	3	3	4	3	5	3	5	1	2	1	1	3	5	5
168	28	5	4	1	2	3	1	2	2	1	1	1	4	3	2	4	4	5	2	2	5	3	4	19
811	29	4	1	4	1	3	4	4	1	2	2	1	1	5	3	4	2	2	3	5	4	3	3	1
1538	8	1	1	3	3	3	1	5	3	4	1	1	4	2	3	3	1	4	1	4	4	3	7	14
1491	11	4	4	4	3	3	3	4	1	1	1	5	1	5	4	4	4	2	2	5	5	3	3	18
1500	18	1	2	3	5	3	3	4	2	3	5	1	5	1	5	3	3	5	1	4	3	3	10	11
618	25	1	2	1	4	2	3	5	1	1	2	5	1	5	3	4	2	1	4	2	1	3	4	12
669	12	5	5	5	5	2	3	3	3	3	3	3	3	3	4	1	4	3	4	3	5	3	9	9
1560	26	3	3	3	3	4	5	4	3	3	3	4	2	4	3	4	3	5	5	2	1	3	2	6
619	25	5	5	1	3	3	1	5	4	2	2	1	1	5	4	1	4	1	2	3	5	3	4	18
1345	4	1	1	3	5	4	2	4	1	1	5	4	1	4	1	3	1	4	2	4	4	3	2	15
1626	25	3	2	1	3	3	5	1	5	3	4	4	3	4	2	3	5	1	2	1	3	3	6	7
618	26	1	1	5	4	3	3	5	4	5	5	1	1	2	5	3	2	2	2	3	5	3	7	10
547	7	5	3	4	3	3	4	1	4	3	3	3	5	5	1	3	1	2	4	5	1	3	5	17
1077	6	3	1	3	3	5	4	1	1	3	3	4	1	3	1	3	3	5	2	4	5	3	6	10
1287	6	4	3	1	4	1	3	5	4	4	3	2	4	4	5	2	2	4	2	5	4	3	8	10
692	15	5	3	4	3	3	3	3	3	4	3	2	2	4	4	1	3	4	1	3	4	3	9	6
1409	26	3	5	4	4	4	3	1	4	3	3	1	4	5	5	2	5	5	2	4	1	3	10	5
1011	17	5	5	4	4	3	1	3	4	4	1	3	5	3	1	1	1	3	1	3	4	3	9	14
251	5	5	4	4	2	3	5	1	1	5	1	3	4	5	2	3	1	2	2	1	5	3	5	19
514	9	1	1	1	3	3	3	4	5	1	4	5	1	4	2	5	3	2	2	5	3	3	3	7
1355	13	4	1	1	3	1	1	5	3	4	2	3	5	2	3	3	3	2	4	5	3	3	8	16
826	11	4	2	4	4	4	3	4	2	2	1	1	1	5	5	5	3	2	1	3	2	3	3	11
1382	17	5	5	4	4	3	2	1	3	3	3	3	3	4	4	1	4	3	4	5	3	3	9	9
1186	11	1	5	1	3	4	1	5	3	5	1	1	5	3	3	2	1	3	1	1	4	3	1	14
1399	3	1	1	4	4	4	4	1	4	1	5	1	1	4	5	5	2	2	5	3	4	3	3	10
14	6	2	1	5	3	3	5	5	1	4	2	3	4	2	3	5	3	4	1	3	1	3	7	6
36	10	4	3	1	3	2	5	5	2	4	3	2	4	2	4	2	4	2	4	5	2	3	8	2
1031	26	4	1	4	2	3	3	1	5	1	5	5	4	4	3	5	2	2	3	3	1	3	3	1
909	10	5	5	1	4	3	2	2	3	2	1	5	4	3	2	4	4	5	4	3	2	3	4	13
524	17	4	1	1	3	2	3	5	3	4	3	3	4	2	4	2	3	2	1	5	4	3	8	6
395	1	5	3	5	2	3	4	1	4	5	5	3	5	3	1	5	1	2	4	5	1	3	5	17
957	17	1	4	5	3	3	3	1	1	5	2	3	1	5	4	5	3	1	2	1	4	3	5	18
1	8	1	2	5	5	1	3	4	1	3	2	4	3	5	3	3	4	2	1	1	3	3	5	20
1600	2	1	3	4	4	1	2	4	5	3	4	4	3	3	4	3	2	2	2	5	5	3	5	8
80	3	3	2	1	4	4	4	1	1	2	2	1	1	3	3	2	2	3	5	4	1	3	1	12
1327	4	5	5	4	3	3	4	1	4	3	5	2	5	3	1	1	2	4	4	5	5	3	9	17
1274	11	1	5	1	5	2	5	5	1	2	5	5	1	3	3	1	1	1	3	2	4	3	4	15
674	2	1	5	4	2	4	4	1	4	3	3	1	5	5	2	2	2	2	4	5	1	3	10	17
862	2	1	4	3	4	4	4	4	4	3	1	1	5	5	4	3	4	5	2	4	5	3	10	3
453	25	2	5	5	2	5	2	5	1	5	5	1	5	3	3	5	4	4	4	4	5	3	7	13
1382	19	2	1	3	3	3	1	5	3	5	2	3	5	3	1	3	3	2	4	4	2	3	7	16
1274	4	1	1	2	1	5	4	4	1	3	5	4	4	4	3	4	2	5	3	2	4	3	2	1
1468	21	1	1	3	4	4	4	1	4	3	5	1	1	1	5	2	2	2	5	4	4	3	10	10
1259	23	3	1	4	1	2	3	5	2	4	2	2	5	2	5	2	4	2	5	5	3	3	8	4
525	29	1	1	1	1	3	5	5	3	2	3	1	2	3	4	1	3	1	1	3	4	3	4	6
951	29	3	3	4	3	2	3	5	4	4	5	2	1	4	1	2	2	2	2	5	4	3	8	10
263	5	1	1	4	3	3	5	1	4	5	1	3	4	5	4	5	3	1	4	1	2	3	5	2
1072	15	3	3	3	3	3	4	3	2	3	3	4	4	4	4	3	3	5	4	4	2	3	6	2
1311	22	5	1	5	5	3	5	1	3	3	2	3	4	5	3	5	2	2	3	5	4	3	5	15
822	7	1	4	4	3	3	1	4	1	5	1	4	1	1	4	3	3	5	2	5	4	3	10	18
311	5	5	5	1	5	3	5	5	3	2	5	1	4	3	1	1	1	5	2	2	4	3	4	15
110	25	3	3	1	1	4	4	5	1	5	2	1	4	4	3	2	2	3	3	1	1	3	1	1
667	8	3	2	3	2	5	3	1	1	3	2	4	3	3	3	3	3	5	3	1	4	3	6	20
1181	11	1	5	1	4	3	1	1	3	3	1	4	4	4	3	3	2	5	2	1	4	3	6	14
1429	21	1	1	3	3	5	5	5	5	4	4	1	1	3	2	3	3	2	4	4	4	3	7	7
488	9	3	2	1	3	2	5	5	5	4	5	2	3	2	2	3	3	4	4	5	3	3	8	7
558	11	4	4	4	3	1	3	5	1	4	1	2	1	2	4	2	4	4	2	5	4	3	8	18
1354	6	1	1	4	3	3	5	1	1	2	2	5	2	4	3	4	3	2	1	3	4	3	3	6
526	7	1	4	2	4	4	3	5	2	5	1	4	5	3	5	2	3	3	1	4	3	3	1	11
1358	12	4	5	1	4	2	2	5	1	4	3	2	3	2	3	3	1	4	4	5	5	3	8	9
914	6	4	2	4	4	3	3	4	2	1	1	1	1	4	4	4	2	2	5	5	1	3	3	12
573	10	1	3	3	2	4	4	1	2	3	3	1	5	1	1	3	1	2	4	5	5	3	10	17
269	8	5	1	5	5	3	5	1	1	3	5	3	1	4	3	4	1	4	3	5	4	3	9	15
768	19	1	1	4	4	3	1	1	4	1	1	5	5	5	3	4	1	2	2	5	4	3	3	14
47	6	4	5	1	5	3	3	4	1	2	3	5	3	4	3	4	3	2	1	5	1	3	3	5
1487	10	4	1	4	5	1	5	5	1	4	5	2	1	2	1	3	2	4	3	5	4	3	8	15
525	13	4	2	4	3	2	5	5	5	4	5	2	3	4	2	3	5	4	4	5	4	3	8	7
221	26	4	5	4	1	2	3	5	5	4	1	2	5	4	5	2	4	2	5	5	2	3	8	4
1436	4	4	4	4	3	1	3	5	4	4	2	3	1	4	4	2	3	4	2	5	5	3	8	18
326	22	4	3	1	3	3	5	4	4	2	1	1	4	4	4	4	4	2	5	5	2	3	3	2
312	14	5	5	1	5	3	2	2	1	1	4	1	2	3	4	4	4	5	4	3	5	3	4	9
1056	1	3	2	4	4	4	4	4	1	5	1	4	1	5	3	3	3	2	4	4	1	3	10	12
202	10	4	1	1	5	1	5	5	5	4	5	3	1	2	3	3	3	4	4	5	4	3	8	7
570	12	3	2	1	2	4	5	5	5	2	3	1	1	4	1	2	4	3	1	4	4	3	1	20
1164	8	1	4	4	4	4	4	1	1	3	1	4	5	1	5	3	4	2	2	5	3	3	10	3
769	29	1	4	3	3	5	1	2	3	3	2	4	5	4	3	4	3	5	4	4	3	3	2	16
458	14	3	5	2	5	4	2	2	1	3	3	4	2	4	4	3	4	4	4	2	5	3	2	9
663	18	1	3	2	2	4	3	1	1	2	2	1	1	3	3	2	2	3	3	1	1	3	1	1
556	17	1	1	1	2	3	3	5	1	2	2	1	1	5	4	1	2	5	3	2	4	3	4	1
1259	20	1	1	4	3	1	5	4	4	3	1	4	4	5	4	3	3	1	4	1	4	3	5	2
817	23	1	5	5	4	1	1	1	4	5	1	4	5	5	1	3	1	2	1	1	5	3	5	14
768	23	5	1	5	3	3	5	1	2	3	3	3	4	3	4	1	4	3	4	3	2	3	9	2
20	14	5	4	4	3	3	1	1	4	4	2	2	5	3	3	4	3	3	4	5	2	3	9	16
350	17	3	5	4	4	1	1	5	4	4	5	3	3	2	5	3	3	2	2	5	5	3	8	5
897	9	5	4	5	3	3	3	4	1	3	1	4	1	3	4	3	3	1	2	5	5	3	5	18
1399	29	4	4	4	3	2	3	5	1	4	2	2	1	2	4	2	4	2	2	5	4	3	8	18
